|dates|Maries_Missouri_UnitedStates.JHU_ConfirmedCases.data|Maries_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Maries_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Maries_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Maries_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Maries_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|2.0|0|0.0|0|0.0|0
0|2020-05-28|2.0|0|0.0|0|0.0|0
0|2020-05-29|2.0|0|0.0|0|0.0|0
0|2020-05-30|2.0|0|0.0|0|0.0|0
