|dates|Yuma_Arizona_UnitedStates.JHU_ConfirmedCases.data|Yuma_Arizona_UnitedStates.JHU_ConfirmedCases.missing|Yuma_Arizona_UnitedStates.JHU_ConfirmedDeaths.data|Yuma_Arizona_UnitedStates.JHU_ConfirmedDeaths.missing|Yuma_Arizona_UnitedStates.JHU_ConfirmedRecoveries.data|Yuma_Arizona_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|363.0|0|4.0|0|0.0|0
0|2020-05-18|443.0|0|5.0|0|0.0|0
0|2020-05-19|443.0|0|5.0|0|0.0|0
0|2020-05-20|459.0|0|5.0|0|0.0|0
0|2020-05-21|508.0|0|7.0|0|0.0|0
0|2020-05-22|508.0|0|7.0|0|0.0|0
0|2020-05-23|508.0|0|7.0|0|0.0|0
