|dates|Buffalo_SouthDakota_UnitedStates.JHU_ConfirmedCases.data|Buffalo_SouthDakota_UnitedStates.JHU_ConfirmedCases.missing|Buffalo_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Buffalo_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Buffalo_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Buffalo_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|9.0|0|0.0|0|0.0|0
0|2020-05-25|9.0|0|0.0|0|0.0|0
0|2020-05-26|9.0|0|0.0|0|0.0|0
