|dates|Martin_Florida_UnitedStates.JHU_ConfirmedCases.data|Martin_Florida_UnitedStates.JHU_ConfirmedCases.missing|Martin_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Martin_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Martin_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Martin_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|321.0|0|7.0|0|0.0|0
0|2020-05-18|371.0|0|7.0|0|0.0|0
0|2020-05-19|396.0|0|8.0|0|0.0|0
0|2020-05-20|419.0|0|8.0|0|0.0|0
0|2020-05-21|472.0|0|8.0|0|0.0|0
0|2020-05-22|476.0|0|9.0|0|0.0|0
0|2020-05-23|476.0|0|9.0|0|0.0|0
