|dates|Graham_Arizona_UnitedStates.JHU_ConfirmedCases.data|Graham_Arizona_UnitedStates.JHU_ConfirmedCases.missing|Graham_Arizona_UnitedStates.JHU_ConfirmedDeaths.data|Graham_Arizona_UnitedStates.JHU_ConfirmedDeaths.missing|Graham_Arizona_UnitedStates.JHU_ConfirmedRecoveries.data|Graham_Arizona_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|21.0|0|0.0|0|0.0|0
0|2020-05-15|21.0|0|0.0|0|0.0|0
0|2020-05-16|21.0|0|0.0|0|0.0|0
