|dates|Bexar_Texas_UnitedStates.JHU_ConfirmedCases.data|Bexar_Texas_UnitedStates.JHU_ConfirmedCases.missing|Bexar_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Bexar_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Bexar_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Bexar_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|2120.0|0|62.0|0|0.0|0
0|2020-05-18|2120.0|0|62.0|0|0.0|0
0|2020-05-19|2278.0|0|62.0|0|0.0|0
0|2020-05-20|2278.0|0|62.0|0|0.0|0
0|2020-05-21|2322.0|0|63.0|0|0.0|0
0|2020-05-22|2371.0|0|64.0|0|0.0|0
0|2020-05-23|2371.0|0|64.0|0|0.0|0
