|dates|Logan_Oklahoma_UnitedStates.JHU_ConfirmedCases.data|Logan_Oklahoma_UnitedStates.JHU_ConfirmedCases.missing|Logan_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.data|Logan_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.missing|Logan_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.data|Logan_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|19.0|0|1.0|0|0.0|0
0|2020-05-28|19.0|0|1.0|0|0.0|0
0|2020-05-29|19.0|0|1.0|0|0.0|0
0|2020-05-30|19.0|0|1.0|0|0.0|0
