|dates|Charlevoix_Michigan_UnitedStates.JHU_ConfirmedCases.data|Charlevoix_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Charlevoix_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Charlevoix_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Charlevoix_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Charlevoix_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|15.0|0|1.0|0|0.0|0
0|2020-05-28|15.0|0|1.0|0|0.0|0
0|2020-05-29|15.0|0|1.0|0|0.0|0
0|2020-05-30|15.0|0|1.0|0|0.0|0
