|dates|Richmond_Georgia_UnitedStates.JHU_ConfirmedCases.data|Richmond_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Richmond_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Richmond_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Richmond_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Richmond_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|490.0|0|17.0|0|0.0|0
0|2020-05-18|491.0|0|17.0|0|0.0|0
0|2020-05-19|495.0|0|17.0|0|0.0|0
0|2020-05-20|501.0|0|17.0|0|0.0|0
0|2020-05-21|522.0|0|17.0|0|0.0|0
0|2020-05-22|523.0|0|18.0|0|0.0|0
0|2020-05-23|523.0|0|18.0|0|0.0|0
