|dates|Humphreys_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Humphreys_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Humphreys_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Humphreys_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Humphreys_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Humphreys_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|13.0|0|1.0|0|0.0|0
0|2020-05-28|13.0|0|1.0|0|0.0|0
0|2020-05-29|13.0|0|1.0|0|0.0|0
0|2020-05-30|13.0|0|1.0|0|0.0|0
