|dates|Davidson_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Davidson_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Davidson_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Davidson_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Davidson_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Davidson_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|288.0|0|10.0|0|0.0|0
0|2020-05-18|293.0|0|10.0|0|0.0|0
0|2020-05-19|293.0|0|10.0|0|0.0|0
0|2020-05-20|314.0|0|11.0|0|0.0|0
0|2020-05-21|323.0|0|11.0|0|0.0|0
0|2020-05-22|343.0|0|11.0|0|0.0|0
0|2020-05-23|343.0|0|11.0|0|0.0|0
