|dates|Milwaukee_Wisconsin_UnitedStates.JHU_ConfirmedCases.data|Milwaukee_Wisconsin_UnitedStates.JHU_ConfirmedCases.missing|Milwaukee_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.data|Milwaukee_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.missing|Milwaukee_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.data|Milwaukee_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|4945.0|0|252.0|0|0.0|0
0|2020-05-18|5005.0|0|256.0|0|0.0|0
0|2020-05-19|5076.0|0|260.0|0|0.0|0
0|2020-05-20|5373.0|0|265.0|0|0.0|0
0|2020-05-21|5556.0|0|269.0|0|0.0|0
0|2020-05-22|5735.0|0|270.0|0|0.0|0
0|2020-05-23|5735.0|0|270.0|0|0.0|0
