|dates|Iowa_Iowa_UnitedStates.JHU_ConfirmedCases.data|Iowa_Iowa_UnitedStates.JHU_ConfirmedCases.missing|Iowa_Iowa_UnitedStates.JHU_ConfirmedDeaths.data|Iowa_Iowa_UnitedStates.JHU_ConfirmedDeaths.missing|Iowa_Iowa_UnitedStates.JHU_ConfirmedRecoveries.data|Iowa_Iowa_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|28.0|0|0.0|0|0.0|0
0|2020-05-15|27.0|0|0.0|0|0.0|0
0|2020-05-16|27.0|0|0.0|0|0.0|0
