|dates|Saunders_Nebraska_UnitedStates.JHU_ConfirmedCases.data|Saunders_Nebraska_UnitedStates.JHU_ConfirmedCases.missing|Saunders_Nebraska_UnitedStates.JHU_ConfirmedDeaths.data|Saunders_Nebraska_UnitedStates.JHU_ConfirmedDeaths.missing|Saunders_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.data|Saunders_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|20.0|0|0.0|0|0.0|0
0|2020-05-18|21.0|0|0.0|0|0.0|0
0|2020-05-19|22.0|0|0.0|0|0.0|0
0|2020-05-20|22.0|0|1.0|0|0.0|0
0|2020-05-21|22.0|0|1.0|0|0.0|0
0|2020-05-22|25.0|0|1.0|0|0.0|0
0|2020-05-23|25.0|0|1.0|0|0.0|0
