|dates|Grundy_Illinois_UnitedStates.JHU_ConfirmedCases.data|Grundy_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Grundy_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Grundy_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Grundy_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Grundy_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|74.0|0|1.0|0|0.0|0
0|2020-05-18|75.0|0|1.0|0|0.0|0
0|2020-05-19|80.0|0|1.0|0|0.0|0
0|2020-05-20|83.0|0|2.0|0|0.0|0
0|2020-05-21|82.0|0|2.0|0|0.0|0
0|2020-05-22|84.0|0|2.0|0|0.0|0
0|2020-05-23|84.0|0|2.0|0|0.0|0
