|dates|Grady_Oklahoma_UnitedStates.JHU_ConfirmedCases.data|Grady_Oklahoma_UnitedStates.JHU_ConfirmedCases.missing|Grady_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.data|Grady_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.missing|Grady_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.data|Grady_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|64.0|0|2.0|0|0.0|0
0|2020-05-18|64.0|0|2.0|0|0.0|0
0|2020-05-19|65.0|0|2.0|0|0.0|0
0|2020-05-20|68.0|0|2.0|0|0.0|0
0|2020-05-21|71.0|0|2.0|0|0.0|0
0|2020-05-22|72.0|0|2.0|0|0.0|0
0|2020-05-23|72.0|0|2.0|0|0.0|0
