|dates|Okanogan_Washington_UnitedStates.JHU_ConfirmedCases.data|Okanogan_Washington_UnitedStates.JHU_ConfirmedCases.missing|Okanogan_Washington_UnitedStates.JHU_ConfirmedDeaths.data|Okanogan_Washington_UnitedStates.JHU_ConfirmedDeaths.missing|Okanogan_Washington_UnitedStates.JHU_ConfirmedRecoveries.data|Okanogan_Washington_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|31.0|0|1.0|0|0.0|0
0|2020-05-15|35.0|0|1.0|0|0.0|0
0|2020-05-16|35.0|0|1.0|0|0.0|0
