|dates|Shelby_Illinois_UnitedStates.JHU_ConfirmedCases.data|Shelby_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Shelby_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Shelby_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Shelby_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Shelby_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|13.0|0|1.0|0|0.0|0
0|2020-05-18|13.0|0|1.0|0|0.0|0
0|2020-05-19|15.0|0|1.0|0|0.0|0
0|2020-05-20|15.0|0|1.0|0|0.0|0
0|2020-05-21|15.0|0|1.0|0|0.0|0
0|2020-05-22|15.0|0|1.0|0|0.0|0
0|2020-05-23|15.0|0|1.0|0|0.0|0
