|dates|Madison_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Madison_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Madison_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Madison_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Madison_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Madison_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|165.0|0|2.0|0|0.0|0
0|2020-05-25|173.0|0|2.0|0|0.0|0
0|2020-05-26|173.0|0|2.0|0|0.0|0
