|dates|Fairfax_Virginia_UnitedStates.JHU_ConfirmedCases.data|Fairfax_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Fairfax_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Fairfax_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Fairfax_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Fairfax_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|7643.0|0|282.0|0|0.0|0
0|2020-05-18|7843.0|0|284.0|0|0.0|0
0|2020-05-19|8020.0|0|292.0|0|0.0|0
0|2020-05-20|8163.0|0|302.0|0|0.0|0
0|2020-05-21|8580.0|0|309.0|0|0.0|0
0|2020-05-22|8734.0|0|321.0|0|0.0|0
0|2020-05-23|8734.0|0|321.0|0|0.0|0
