|dates|Alachua_Florida_UnitedStates.JHU_ConfirmedCases.data|Alachua_Florida_UnitedStates.JHU_ConfirmedCases.missing|Alachua_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Alachua_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Alachua_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Alachua_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|370.0|0|7.0|0|0.0|0
0|2020-05-28|370.0|0|7.0|0|0.0|0
0|2020-05-29|370.0|0|7.0|0|0.0|0
0|2020-05-30|370.0|0|7.0|0|0.0|0
