|dates|Montgomery_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Montgomery_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Montgomery_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Montgomery_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Montgomery_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Montgomery_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|72.0|0|1.0|0|0.0|0
0|2020-05-18|72.0|0|1.0|0|0.0|0
0|2020-05-19|74.0|0|1.0|0|0.0|0
0|2020-05-20|75.0|0|1.0|0|0.0|0
0|2020-05-21|76.0|0|1.0|0|0.0|0
0|2020-05-22|77.0|0|1.0|0|0.0|0
0|2020-05-23|77.0|0|1.0|0|0.0|0
