|dates|Dare_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Dare_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Dare_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Dare_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Dare_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Dare_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|22.0|0|3.0|0|0.0|0
0|2020-05-28|22.0|0|3.0|0|0.0|0
0|2020-05-29|22.0|0|3.0|0|0.0|0
0|2020-05-30|22.0|0|3.0|0|0.0|0
