|dates|Cascade_Montana_UnitedStates.JHU_ConfirmedCases.data|Cascade_Montana_UnitedStates.JHU_ConfirmedCases.missing|Cascade_Montana_UnitedStates.JHU_ConfirmedDeaths.data|Cascade_Montana_UnitedStates.JHU_ConfirmedDeaths.missing|Cascade_Montana_UnitedStates.JHU_ConfirmedRecoveries.data|Cascade_Montana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|17.0|0|2.0|0|0.0|0
0|2020-05-25|17.0|0|2.0|0|0.0|0
0|2020-05-26|17.0|0|2.0|0|0.0|0
