|dates|Panola_Texas_UnitedStates.JHU_ConfirmedCases.data|Panola_Texas_UnitedStates.JHU_ConfirmedCases.missing|Panola_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Panola_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Panola_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Panola_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|194.0|0|22.0|0|0.0|0
0|2020-05-28|194.0|0|22.0|0|0.0|0
0|2020-05-29|194.0|0|22.0|0|0.0|0
0|2020-05-30|194.0|0|22.0|0|0.0|0
