|dates|Tuscarawas_Ohio_UnitedStates.JHU_ConfirmedCases.data|Tuscarawas_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Tuscarawas_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Tuscarawas_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Tuscarawas_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Tuscarawas_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|264.0|0|1.0|0|0.0|0
0|2020-05-18|269.0|0|1.0|0|0.0|0
0|2020-05-19|272.0|0|1.0|0|0.0|0
0|2020-05-20|281.0|0|1.0|0|0.0|0
0|2020-05-21|293.0|0|2.0|0|0.0|0
0|2020-05-22|301.0|0|2.0|0|0.0|0
0|2020-05-23|301.0|0|2.0|0|0.0|0
