|dates|Door_Wisconsin_UnitedStates.JHU_ConfirmedCases.data|Door_Wisconsin_UnitedStates.JHU_ConfirmedCases.missing|Door_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.data|Door_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.missing|Door_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.data|Door_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|33.0|0|3.0|0|0.0|0
0|2020-05-18|33.0|0|3.0|0|0.0|0
0|2020-05-19|33.0|0|3.0|0|0.0|0
0|2020-05-20|34.0|0|3.0|0|0.0|0
0|2020-05-21|34.0|0|3.0|0|0.0|0
0|2020-05-22|35.0|0|3.0|0|0.0|0
0|2020-05-23|35.0|0|3.0|0|0.0|0
