|dates|Pottawattamie_Iowa_UnitedStates.JHU_ConfirmedCases.data|Pottawattamie_Iowa_UnitedStates.JHU_ConfirmedCases.missing|Pottawattamie_Iowa_UnitedStates.JHU_ConfirmedDeaths.data|Pottawattamie_Iowa_UnitedStates.JHU_ConfirmedDeaths.missing|Pottawattamie_Iowa_UnitedStates.JHU_ConfirmedRecoveries.data|Pottawattamie_Iowa_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|161.0|0|2.0|0|0.0|0
0|2020-05-18|170.0|0|2.0|0|0.0|0
0|2020-05-19|174.0|0|2.0|0|0.0|0
0|2020-05-20|175.0|0|3.0|0|0.0|0
0|2020-05-21|190.0|0|5.0|0|0.0|0
0|2020-05-22|196.0|0|5.0|0|0.0|0
0|2020-05-23|196.0|0|5.0|0|0.0|0
