|dates|Richmond_Virginia_UnitedStates.JHU_ConfirmedCases.data|Richmond_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Richmond_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Richmond_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Richmond_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Richmond_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|275.0|0|4.0|0|0.0|0
0|2020-05-28|275.0|0|4.0|0|0.0|0
0|2020-05-29|275.0|0|4.0|0|0.0|0
0|2020-05-30|275.0|0|4.0|0|0.0|0
