|dates|Madison_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Madison_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Madison_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Madison_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Madison_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Madison_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|687.0|0|21.0|0|0.0|0
0|2020-05-28|687.0|0|21.0|0|0.0|0
0|2020-05-29|687.0|0|21.0|0|0.0|0
0|2020-05-30|687.0|0|21.0|0|0.0|0
