|dates|Daviess_Indiana_UnitedStates.JHU_ConfirmedCases.data|Daviess_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Daviess_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Daviess_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Daviess_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Daviess_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|81.0|0|16.0|0|0.0|0
0|2020-05-25|82.0|0|16.0|0|0.0|0
0|2020-05-26|82.0|0|16.0|0|0.0|0
