|dates|Ionia_Michigan_UnitedStates.JHU_ConfirmedCases.data|Ionia_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Ionia_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Ionia_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Ionia_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Ionia_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|119.0|0|3.0|0|0.0|0
0|2020-05-18|119.0|0|3.0|0|0.0|0
0|2020-05-19|123.0|0|3.0|0|0.0|0
0|2020-05-20|124.0|0|3.0|0|0.0|0
0|2020-05-21|129.0|0|3.0|0|0.0|0
0|2020-05-22|135.0|0|3.0|0|0.0|0
0|2020-05-23|135.0|0|3.0|0|0.0|0
