|dates|Chesapeake_Virginia_UnitedStates.JHU_ConfirmedCases.data|Chesapeake_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Chesapeake_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Chesapeake_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Chesapeake_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Chesapeake_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|384.0|0|10.0|0|0.0|0
0|2020-05-18|387.0|0|10.0|0|0.0|0
0|2020-05-19|396.0|0|10.0|0|0.0|0
0|2020-05-20|401.0|0|12.0|0|0.0|0
0|2020-05-21|412.0|0|13.0|0|0.0|0
0|2020-05-22|419.0|0|13.0|0|0.0|0
0|2020-05-23|419.0|0|13.0|0|0.0|0
