|dates|Henderson_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Henderson_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Henderson_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Henderson_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Henderson_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Henderson_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|316.0|0|42.0|0|0.0|0
0|2020-05-25|319.0|0|42.0|0|0.0|0
0|2020-05-26|319.0|0|42.0|0|0.0|0
