|dates|Putnam_Georgia_UnitedStates.JHU_ConfirmedCases.data|Putnam_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Putnam_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Putnam_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Putnam_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Putnam_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|77.0|0|7.0|0|0.0|0
0|2020-05-18|79.0|0|7.0|0|0.0|0
0|2020-05-19|80.0|0|7.0|0|0.0|0
0|2020-05-20|83.0|0|7.0|0|0.0|0
0|2020-05-21|86.0|0|7.0|0|0.0|0
0|2020-05-22|84.0|0|8.0|0|0.0|0
0|2020-05-23|84.0|0|8.0|0|0.0|0
