|dates|Andrew_Missouri_UnitedStates.JHU_ConfirmedCases.data|Andrew_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Andrew_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Andrew_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Andrew_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Andrew_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|15.0|0|0.0|0|0.0|0
0|2020-05-18|17.0|0|0.0|0|0.0|0
0|2020-05-19|19.0|0|0.0|0|0.0|0
0|2020-05-20|20.0|0|0.0|0|0.0|0
0|2020-05-21|20.0|0|0.0|0|0.0|0
0|2020-05-22|20.0|0|0.0|0|0.0|0
0|2020-05-23|20.0|0|0.0|0|0.0|0
