|dates|Sumner_Kansas_UnitedStates.JHU_ConfirmedCases.data|Sumner_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Sumner_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Sumner_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Sumner_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Sumner_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|5.0|0|1.0|0|0.0|0
0|2020-05-15|6.0|0|1.0|0|0.0|0
0|2020-05-16|6.0|0|1.0|0|0.0|0
