|dates|Horry_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Horry_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Horry_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Horry_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Horry_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Horry_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|298.0|0|19.0|0|0.0|0
0|2020-05-18|299.0|0|19.0|0|0.0|0
0|2020-05-19|303.0|0|20.0|0|0.0|0
0|2020-05-20|314.0|0|20.0|0|0.0|0
0|2020-05-21|333.0|0|21.0|0|0.0|0
0|2020-05-22|359.0|0|21.0|0|0.0|0
0|2020-05-23|359.0|0|21.0|0|0.0|0
