|dates|Appling_Georgia_UnitedStates.JHU_ConfirmedCases.data|Appling_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Appling_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Appling_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Appling_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Appling_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|108.0|0|11.0|0|0.0|0
0|2020-05-18|111.0|0|11.0|0|0.0|0
0|2020-05-19|113.0|0|11.0|0|0.0|0
0|2020-05-20|115.0|0|11.0|0|0.0|0
0|2020-05-21|118.0|0|12.0|0|0.0|0
0|2020-05-22|121.0|0|13.0|0|0.0|0
0|2020-05-23|121.0|0|13.0|0|0.0|0
