|dates|St.Martin_Louisiana_UnitedStates.JHU_ConfirmedCases.data|St.Martin_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|St.Martin_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|St.Martin_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|St.Martin_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|St.Martin_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|278.0|0|22.0|0|0.0|0
0|2020-05-15|278.0|0|22.0|0|0.0|0
0|2020-05-16|278.0|0|22.0|0|0.0|0
