|dates|Henry_Virginia_UnitedStates.JHU_ConfirmedCases.data|Henry_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Henry_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Henry_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Henry_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Henry_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|36.0|0|2.0|0|0.0|0
0|2020-05-18|43.0|0|2.0|0|0.0|0
0|2020-05-19|46.0|0|2.0|0|0.0|0
0|2020-05-20|50.0|0|2.0|0|0.0|0
0|2020-05-21|53.0|0|2.0|0|0.0|0
0|2020-05-22|59.0|0|2.0|0|0.0|0
0|2020-05-23|59.0|0|2.0|0|0.0|0
