|dates|Chatham_Georgia_UnitedStates.JHU_ConfirmedCases.data|Chatham_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Chatham_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Chatham_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Chatham_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Chatham_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|355.0|0|14.0|0|0.0|0
0|2020-05-18|363.0|0|14.0|0|0.0|0
0|2020-05-19|379.0|0|16.0|0|0.0|0
0|2020-05-20|388.0|0|16.0|0|0.0|0
0|2020-05-21|406.0|0|18.0|0|0.0|0
0|2020-05-22|428.0|0|21.0|0|0.0|0
0|2020-05-23|428.0|0|21.0|0|0.0|0
