|dates|Greene_Missouri_UnitedStates.JHU_ConfirmedCases.data|Greene_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Greene_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Greene_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Greene_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Greene_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|105.0|0|8.0|0|0.0|0
0|2020-05-18|107.0|0|8.0|0|0.0|0
0|2020-05-19|107.0|0|8.0|0|0.0|0
0|2020-05-20|111.0|0|7.0|0|0.0|0
0|2020-05-21|112.0|0|8.0|0|0.0|0
0|2020-05-22|117.0|0|8.0|0|0.0|0
0|2020-05-23|117.0|0|8.0|0|0.0|0
