|dates|Rockingham_NewHampshire_UnitedStates.JHU_ConfirmedCases.data|Rockingham_NewHampshire_UnitedStates.JHU_ConfirmedCases.missing|Rockingham_NewHampshire_UnitedStates.JHU_ConfirmedDeaths.data|Rockingham_NewHampshire_UnitedStates.JHU_ConfirmedDeaths.missing|Rockingham_NewHampshire_UnitedStates.JHU_ConfirmedRecoveries.data|Rockingham_NewHampshire_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|1104.0|0|53.0|0|0.0|0
0|2020-05-18|1113.0|0|53.0|0|0.0|0
0|2020-05-19|1138.0|0|53.0|0|0.0|0
0|2020-05-20|1159.0|0|53.0|0|0.0|0
0|2020-05-21|1179.0|0|62.0|0|0.0|0
0|2020-05-22|1199.0|0|62.0|0|0.0|0
0|2020-05-23|1199.0|0|62.0|0|0.0|0
