|dates|Terrebonne_Louisiana_UnitedStates.JHU_ConfirmedCases.data|Terrebonne_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|Terrebonne_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|Terrebonne_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|Terrebonne_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|Terrebonne_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|585.0|0|43.0|0|0.0|0
0|2020-05-18|590.0|0|43.0|0|0.0|0
0|2020-05-19|591.0|0|44.0|0|0.0|0
0|2020-05-20|594.0|0|44.0|0|0.0|0
0|2020-05-21|614.0|0|45.0|0|0.0|0
0|2020-05-22|623.0|0|45.0|0|0.0|0
0|2020-05-23|623.0|0|45.0|0|0.0|0
