|dates|Pike_Georgia_UnitedStates.JHU_ConfirmedCases.data|Pike_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Pike_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Pike_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Pike_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Pike_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|54.0|0|2.0|0|0.0|0
0|2020-05-28|54.0|0|2.0|0|0.0|0
0|2020-05-29|54.0|0|2.0|0|0.0|0
0|2020-05-30|54.0|0|2.0|0|0.0|0
