|dates|Lamar_Georgia_UnitedStates.JHU_ConfirmedCases.data|Lamar_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Lamar_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Lamar_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Lamar_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Lamar_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|41.0|0|1.0|0|0.0|0
0|2020-05-18|41.0|0|1.0|0|0.0|0
0|2020-05-19|44.0|0|1.0|0|0.0|0
0|2020-05-20|44.0|0|1.0|0|0.0|0
0|2020-05-21|46.0|0|1.0|0|0.0|0
0|2020-05-22|50.0|0|1.0|0|0.0|0
0|2020-05-23|50.0|0|1.0|0|0.0|0
