|dates|Louisa_Iowa_UnitedStates.JHU_ConfirmedCases.data|Louisa_Iowa_UnitedStates.JHU_ConfirmedCases.missing|Louisa_Iowa_UnitedStates.JHU_ConfirmedDeaths.data|Louisa_Iowa_UnitedStates.JHU_ConfirmedDeaths.missing|Louisa_Iowa_UnitedStates.JHU_ConfirmedRecoveries.data|Louisa_Iowa_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|307.0|0|3.0|0|0.0|0
0|2020-05-18|310.0|0|3.0|0|0.0|0
0|2020-05-19|315.0|0|4.0|0|0.0|0
0|2020-05-20|322.0|0|6.0|0|0.0|0
0|2020-05-21|326.0|0|6.0|0|0.0|0
0|2020-05-22|327.0|0|7.0|0|0.0|0
0|2020-05-23|327.0|0|7.0|0|0.0|0
