|dates|Gwinnett_Georgia_UnitedStates.JHU_ConfirmedCases.data|Gwinnett_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Gwinnett_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Gwinnett_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Gwinnett_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Gwinnett_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|2594.0|0|102.0|0|0.0|0
0|2020-05-18|2680.0|0|105.0|0|0.0|0
0|2020-05-19|2771.0|0|114.0|0|0.0|0
0|2020-05-20|2820.0|0|117.0|0|0.0|0
0|2020-05-21|2882.0|0|121.0|0|0.0|0
0|2020-05-22|2961.0|0|121.0|0|0.0|0
0|2020-05-23|2961.0|0|121.0|0|0.0|0
