|dates|Caldwell_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Caldwell_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Caldwell_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Caldwell_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Caldwell_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Caldwell_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|114.0|0|2.0|0|0.0|0
0|2020-05-28|114.0|0|2.0|0|0.0|0
0|2020-05-29|114.0|0|2.0|0|0.0|0
0|2020-05-30|114.0|0|2.0|0|0.0|0
