|dates|Morton_NorthDakota_UnitedStates.JHU_ConfirmedCases.data|Morton_NorthDakota_UnitedStates.JHU_ConfirmedCases.missing|Morton_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Morton_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Morton_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Morton_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|40.0|0|2.0|0|0.0|0
0|2020-05-18|40.0|0|2.0|0|0.0|0
0|2020-05-19|40.0|0|2.0|0|0.0|0
0|2020-05-20|63.0|0|2.0|0|0.0|0
0|2020-05-21|64.0|0|2.0|0|0.0|0
0|2020-05-22|64.0|0|2.0|0|0.0|0
0|2020-05-23|64.0|0|2.0|0|0.0|0
