|dates|Woodford_Illinois_UnitedStates.JHU_ConfirmedCases.data|Woodford_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Woodford_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Woodford_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Woodford_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Woodford_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|14.0|0|1.0|0|0.0|0
0|2020-05-18|16.0|0|1.0|0|0.0|0
0|2020-05-19|16.0|0|1.0|0|0.0|0
0|2020-05-20|17.0|0|2.0|0|0.0|0
0|2020-05-21|17.0|0|2.0|0|0.0|0
0|2020-05-22|17.0|0|2.0|0|0.0|0
0|2020-05-23|17.0|0|2.0|0|0.0|0
