|dates|Barren_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Barren_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Barren_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Barren_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Barren_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Barren_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|34.0|0|0.0|0|0.0|0
0|2020-05-18|34.0|0|0.0|0|0.0|0
0|2020-05-19|34.0|0|0.0|0|0.0|0
0|2020-05-20|38.0|0|0.0|0|0.0|0
0|2020-05-21|38.0|0|0.0|0|0.0|0
0|2020-05-22|40.0|0|1.0|0|0.0|0
0|2020-05-23|40.0|0|1.0|0|0.0|0
