|dates|Rush_Indiana_UnitedStates.JHU_ConfirmedCases.data|Rush_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Rush_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Rush_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Rush_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Rush_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|41.0|0|2.0|0|0.0|0
0|2020-05-18|42.0|0|2.0|0|0.0|0
0|2020-05-19|42.0|0|2.0|0|0.0|0
0|2020-05-20|42.0|0|2.0|0|0.0|0
0|2020-05-21|43.0|0|2.0|0|0.0|0
0|2020-05-22|44.0|0|2.0|0|0.0|0
0|2020-05-23|44.0|0|2.0|0|0.0|0
