|dates|Lafayette_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Lafayette_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Lafayette_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Lafayette_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Lafayette_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Lafayette_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|125.0|0|4.0|0|0.0|0
0|2020-05-28|125.0|0|4.0|0|0.0|0
0|2020-05-29|125.0|0|4.0|0|0.0|0
0|2020-05-30|125.0|0|4.0|0|0.0|0
