|dates|Butler_Ohio_UnitedStates.JHU_ConfirmedCases.data|Butler_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Butler_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Butler_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Butler_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Butler_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|826.0|0|26.0|0|0.0|0
0|2020-05-28|826.0|0|26.0|0|0.0|0
0|2020-05-29|826.0|0|26.0|0|0.0|0
0|2020-05-30|826.0|0|26.0|0|0.0|0
