|dates|Loudon_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Loudon_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Loudon_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Loudon_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Loudon_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Loudon_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|137.0|0|0.0|0|0.0|0
0|2020-05-28|137.0|0|0.0|0|0.0|0
0|2020-05-29|137.0|0|0.0|0|0.0|0
0|2020-05-30|137.0|0|0.0|0|0.0|0
