|dates|Sarasota_Florida_UnitedStates.JHU_ConfirmedCases.data|Sarasota_Florida_UnitedStates.JHU_ConfirmedCases.missing|Sarasota_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Sarasota_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Sarasota_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Sarasota_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|508.0|0|58.0|0|0.0|0
0|2020-05-18|518.0|0|58.0|0|0.0|0
0|2020-05-19|533.0|0|63.0|0|0.0|0
0|2020-05-20|538.0|0|65.0|0|0.0|0
0|2020-05-21|550.0|0|67.0|0|0.0|0
0|2020-05-22|565.0|0|70.0|0|0.0|0
0|2020-05-23|565.0|0|70.0|0|0.0|0
