|dates|Calhoun_Florida_UnitedStates.JHU_ConfirmedCases.data|Calhoun_Florida_UnitedStates.JHU_ConfirmedCases.missing|Calhoun_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Calhoun_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Calhoun_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Calhoun_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|52.0|0|3.0|0|0.0|0
0|2020-05-28|52.0|0|3.0|0|0.0|0
0|2020-05-29|52.0|0|3.0|0|0.0|0
0|2020-05-30|52.0|0|3.0|0|0.0|0
