|dates|Moore_Texas_UnitedStates.JHU_ConfirmedCases.data|Moore_Texas_UnitedStates.JHU_ConfirmedCases.missing|Moore_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Moore_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Moore_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Moore_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|552.0|0|11.0|0|0.0|0
0|2020-05-18|567.0|0|12.0|0|0.0|0
0|2020-05-19|575.0|0|12.0|0|0.0|0
0|2020-05-20|579.0|0|12.0|0|0.0|0
0|2020-05-21|579.0|0|13.0|0|0.0|0
0|2020-05-22|579.0|0|13.0|0|0.0|0
0|2020-05-23|579.0|0|13.0|0|0.0|0
